id,label,follower,wohnort,medium,sex,type
_juliaschramm,Julia Schramm,21.900,1,10,1,0
annalero,Anna-Lena Roth,1.100,2,1,1,0
annalist,Anna Roth,28.800,1,10,1,0
annlivma,annlivma,382,7,10,1,0
apeanne,Anne Peter,1.200,1,2,1,0
ckoever,Chris Köver,2.000,1,3,1,0
crazylittlenici,crazylittlenici,602,3,10,1,0
digiwomende,Digital Media Women,10.200,4,10,3,1
doubleyoueiebke,Wiebke Harms,320,7,4,1,0
ecoimquadrat,Anna Steiner,1.800,5,5,1,0
emotionmagazin,Emotion,1.600,4,10,3,1
fraeulein_tessa,Teresa Bücker,37.700,7,6,1,0
frausonnefeld,Laura Sonnefeld,1.000,4,10,1,0
gesine_agena,Gesine Agena,3.900,7,10,1,0
laloeffelstiel,Juliane Löffler,1.300,1,7,1,0
laurajo_aha,laurajo_aha,124,1,8,1,0
leoffm,leoffm,608,5,10,3,0
marga_owski,Margarete Stokowski,37.700,1,1,1,0
marthadear,Anne Wizorek,21.200,1,10,1,0
missclaraott,Clara Ott,1.300,1,9,1,0
missy_magazine,Missy Magazine,12.500,1,10,3,1
mrskingkoch,Anna Koch,426,1,9,1,0
netizenmay,Natalie Mayroth,1.100,6,10,1,0
nicolaabe,Nicola Abé,1.700,1,1,1,0
ninialagrande,ninialagrande,9.100,7,10,1,0
noravanessa,Nora-Vanessa Wohlert,4.200,1,6,1,0
ohsophianet,Sophia Hoffmann,1.000,1,10,1,0
slow_haus,Stefanie Lohaus,1.700,1,3,1,0
tdfev,Terres des Femmes,4.600,1,10,3,1
textautomat,Anna Aridzanjan,8.000,1,7,1,0
