id,name,follower,wohnort,medium,sex,type
_juliaschramm,Julia Schramm,21.900,Berlin,na,1,0
annalero,Anna-Lena Roth,1.100,Sydney,Spiegel,1,0
annalist,Anna Roth,28.800,Berlin,na,1,0
annlivma,na,382,na,na,1,0
apeanne,Anne Peter,1.200,Berlin,nachtkritik.de,1,0
ckoever,Chris Köver,2.000,Berlin,Missy_Magazine ,1,0
crazylittlenici,na,602,Kiel,na,1,0
digiwomende,Digital Media Women,10.200,Hamburg,na,3,1
doubleyoueiebke,Wiebke Harms,320,na,F_Mag,1,0
ecoimquadrat,Anna Steiner,1.800,Frankfurt,F.A.S,1,0
emotionmagazin,Emotion,1.600,Hamburg,na,3,1
fraeulein_tessa,Teresa Bücker,37.700,na,Edition_F,1,0
frausonnefeld,Laura Sonnefeld,1.000,Hamburg,na,1,0
gesine_agena,Gesine Agena,3.900,na,na,1,0
laloeffelstiel,Juliane Löffler,1.300,Berlin,Buzz_Feed_Germany,1,0
laurajo_aha,na,124,Berlin,Musik_Express,1,0
leoffm,na,608,Frankfurt,na,3,0
marga_owski,Margarete Stokowski,37.700,Berlin,Spiegel,1,0
marthadear,Anne Wizorek,21.200,Berlin,na,1,0
missclaraott,Clara Ott,1.300,Berlin,Welt,1,0
missy_magazine,Missy Magazine,12.500,Berlin,na,3,1
mrskingkoch,Anna Koch,426,Berlin,Welt ,1,0
netizenmay,Natalie Mayroth,1.100,Iran,na,1,0
nicolaabe,Nicola Abé,1.700,Berlin,Spiegel,1,0
ninialagrande,na,9.100,na,na,1,0
noravanessa,Nora-Vanessa Wohlert,4.200,Berlin,Edition_F,1,0
ohsophianet,Sophia Hoffmann,1.000,Berlin,na,1,0
slow_haus,Stefanie Lohaus,1.700,Berlin,Missy_Magazine,1,0
tdfev,Terres des Femmes,4.600,Berlin,na,3,1
textautomat,Anna Aridzanjan,8.000,Berlin,Buzz_Feed_Germany,1,0
